epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
34,45.8011,1.56047,3.25568,4.19073,1.49593,0,0,0,0,0,0,0,0,0,1.31686,3.3846,4.37263,1.44928,0,5.44439e-05,5.44439e-05,5.44439e-05
35,47.3893,1.19266,3.86007,4.13337,1.399,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,5.28893e-05,5.28893e-05,5.28893e-05
36,48.8787,1.18531,3.03222,4.05681,1.25349,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,5.11462e-05,5.11462e-05,5.11462e-05
37,50.382,1.47921,3.14464,4.11024,1.41913,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,4.92146e-05,4.92146e-05,4.92146e-05
38,51.7891,1.41263,3.14938,4.03398,1.56587,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,4.70945e-05,4.70945e-05,4.70945e-05
39,53.4101,1.53772,3.75593,3.9426,2.00734,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,4.47859e-05,4.47859e-05,4.47859e-05
40,54.8072,1.10311,3.41451,3.88625,1.3262,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,4.22888e-05,4.22888e-05,4.22888e-05
41,56.215,1.31566,3.8356,4.70458,1.39797,0,0,0,0,0,0,0,0,0,1.22307,2.85853,4.33393,1.39178,0,3.96032e-05,3.96032e-05,3.96032e-05
42,57.7432,1.60936,2.83502,4.51318,1.53112,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,3.67291e-05,3.67291e-05,3.67291e-05
43,59.227,1.34159,2.5134,4.43909,1.26599,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,3.36665e-05,3.36665e-05,3.36665e-05
44,60.7032,1.62065,2.65352,3.97681,1.62078,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,3.04154e-05,3.04154e-05,3.04154e-05
45,62.2997,1.38324,2.66027,4.39473,1.41844,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,2.69759e-05,2.69759e-05,2.69759e-05
46,63.8013,2.79465,3.05482,4.61432,2.25197,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,2.33478e-05,2.33478e-05,2.33478e-05
47,65.2904,2.29705,2.97383,4.22695,2.28962,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,1.95312e-05,1.95312e-05,1.95312e-05
48,66.7133,1.95203,3.63239,4.68387,1.57834,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,1.55262e-05,1.55262e-05,1.55262e-05
49,68.222,1.96529,2.80527,4.42959,1.76355,0,0,0,0,0,0,0,0,0,1.08349,2.75146,4.30045,1.31139,0,1.13326e-05,1.13326e-05,1.13326e-05
50,69.856,1.37601,2.62803,4.45978,1.4988,0,0,0,0,0,0,0,0,0,1.11699,2.84841,4.3152,1.27937,0,6.95055e-06,6.95055e-06,6.95055e-06
