epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6524.02,2.95582,3.93568,2.30616,1.92317,0,0.60853,0.08665,0.08078,0.02684,0.61069,0.09064,0.08989,0.02991,3.32393,3.83408,2.65244,2.15932,0,0.000414688,0.000414688,0.000414688
29,6753.31,2.99847,3.9301,2.41317,1.97294,0,0.61519,0.09163,0.08427,0.02613,0.61682,0.09064,0.09087,0.02913,3.33573,3.83838,2.64977,2.17407,0,0.00038375,0.00038375,0.00038375
30,7033.57,2.88335,3.8428,2.30613,1.89536,0,0.6079,0.08068,0.07422,0.02142,0.61689,0.08466,0.08204,0.02423,3.37382,3.85495,2.69761,2.20115,0,0.000352812,0.000352812,0.000352812
31,7201.37,3.0054,4.08364,2.42339,1.96395,0,0.59555,0.08566,0.07108,0.01916,0.59632,0.08552,0.07574,0.02246,3.37164,3.84653,2.67241,2.19012,0,0.000321875,0.000321875,0.000321875
32,7368.97,2.97816,3.90444,2.40298,1.95286,0,0.59147,0.07471,0.06621,0.01875,0.60242,0.08167,0.07504,0.02121,3.38444,3.83813,2.65544,2.19082,0,0.000290937,0.000290937,0.000290937
33,7552.4,2.96001,4.01151,2.38526,1.92061,0,0.59615,0.07718,0.06513,0.01807,0.60168,0.07968,0.0721,0.02047,3.37579,3.84116,2.65031,2.19014,0,0.00026,0.00026,0.00026
34,7721.53,2.97447,3.91266,2.41747,1.9489,0,0.61598,0.07844,0.06674,0.01882,0.62036,0.08045,0.06981,0.02109,3.33673,3.83038,2.62334,2.18237,0,0.000229063,0.000229063,0.000229063
35,7914.85,2.92374,3.92401,2.38781,1.93356,0,0.61069,0.08267,0.06753,0.01923,0.61495,0.08765,0.07112,0.02164,3.30551,3.82666,2.59824,2.16742,0,0.000198125,0.000198125,0.000198125
36,8097.62,2.93735,3.9716,2.37453,1.91994,0,0.61087,0.08167,0.06476,0.01863,0.61358,0.08367,0.067,0.02023,3.26648,3.81954,2.57098,2.15129,0,0.000167188,0.000167188,0.000167188
37,8274.31,2.89564,3.92467,2.36892,1.93936,0,0.61889,0.08865,0.07205,0.02242,0.61912,0.08964,0.07496,0.02382,3.22926,3.79959,2.54241,2.12678,0,0.00013625,0.00013625,0.00013625
38,8461.27,2.92258,4.07853,2.32787,1.89521,0,0.86635,0.08566,0.0732,0.02236,0.86571,0.08765,0.0766,0.02458,3.2102,3.79589,2.52291,2.11783,0,0.000105312,0.000105312,0.000105312
39,8621.69,2.882,3.93081,2.31219,1.90009,0,0.86762,0.08466,0.07339,0.02298,0.87022,0.08665,0.07601,0.02492,3.20176,3.79652,2.52239,2.11317,0,7.4375e-05,7.4375e-05,7.4375e-05
40,8802.13,2.88105,3.95376,2.289,1.91023,0,0.86753,0.08367,0.07545,0.02379,0.86902,0.08665,0.07651,0.02563,3.19919,3.79679,2.51894,2.11379,0,4.34375e-05,4.34375e-05,4.34375e-05
